id,SalePrice
1461,120226.21062524464
1462,158033.457351112
1463,184218.31351531218
1464,195496.3549016726
1465,196005.41656295798
1466,169196.63717929408
1467,176110.19718469138
1468,159534.8473692393
1469,188997.58788123468
1470,120301.83208231447
1471,195526.29204018207
1472,95897.42610276029
1473,93894.20469319903
1474,147516.60509016574
1475,111836.1673125505
1476,363369.7863288374
1477,236262.15576447814
1478,273322.4604913627
1479,274179.0654391408
1480,485645.0270027654
1481,312688.62819861306
1482,199612.39815128286
1483,172942.72775969995
1484,157133.61765465824
1485,185339.59962472855
1486,195596.54657193937
1487,333168.27066296316
1488,221495.57899966676
1489,186862.08558070616
1490,231378.30700337366
1491,194080.52856610375
1492,93088.9098049176
1493,171410.53473100823
1494,292902.8133918266
1495,293582.7054244905
1496,237654.48909636788
1497,180303.97881022983
1498,164644.87750937452
1499,157803.8681595425
1500,146472.3161903849
1501,171531.1166836096
1502,142112.27224020625
1503,284118.3696020519
1504,240236.68626320464
1505,224797.34073817634
1506,193926.26159861972
1507,251624.111851291
1508,200222.9149467154
1509,159834.83308084798
1510,144590.36384288978
1511,155011.68781278637
1512,178624.7021758176
1513,146521.2621205452
1514,157092.85717935738
1515,193480.5888011111
1516,153747.26525459404
1517,158424.67886250286
1518,136197.70865249413
1519,209916.55678903274
1520,129864.82210708366
1521,134679.67084213666
1522,179358.31119031477
1523,109226.92431344904
1524,128921.94858278362
1525,120595.62927327398
1526,112931.94191553624
1527,103403.17747203322
1528,132673.94199719332
1529,150978.9449156545
1530,172872.6387560859
1531,108415.05079533189
1532,99767.02277587271
1533,147723.93027379064
1534,126614.47869390006
1535,144439.5706648532
1536,105430.06501688322
1537,58997.789213733995
1538,145542.9991179978
1539,194206.60119848646
1540,97340.06532028396
1541,144379.87555889194
1542,143680.00596605835
1543,190877.68501643042
1544,83683.19249542298
1545,110867.20063894872
1546,134511.952212759
1547,133497.618167568
1548,138866.38324051563
1549,114815.34106387715
1550,135262.46774994972
1551,112253.96046829286
1552,138820.23558928916
1553,152030.7766396202
1554,112319.42516585643
1555,162877.29704279313
1556,84395.32870993606
1557,115354.91669634377
1558,103237.01007161352
1559,59787.61901865283
1560,137062.7236974997
1561,124845.32184831306
1562,126154.1076149973
1563,120076.46152598356
1564,163014.08167246508
1565,147623.49972821152
1566,229448.61087365513
1567,78691.31784445017
1568,241318.92630414903
1569,128638.81249678947
1570,133146.71548171103
1571,115786.69271092683
1572,146697.55088147798
1573,229347.79657448636
1574,119497.4463248076
1575,222350.649504241
1576,244296.52659338745
1577,173476.6960672972
1578,150877.9940943995
1579,143483.12678820704
1580,194470.1478214632
1581,151414.1145425833
1582,121870.37633737669
1583,294586.59295807756
1584,221429.51981389345
1585,139279.63486914153
1586,64691.58163203413
1587,104067.40028778445
1588,148068.05596755393
1589,101442.34822367436
1590,133283.73997650904
1591,94052.33287189103
1592,121445.63471431249
1593,127986.28333598925
1594,132624.3203931839
1595,108675.87699948733
1596,225771.56297766636
1597,196346.59658553338
1598,216233.74797429383
1599,163144.61946428363
1600,162985.19559653426
1601,65885.77704390172
1602,119294.30592113844
1603,72673.51234535742
1604,249364.15791650434
1605,238539.90371952637
1606,168230.18494940153
1607,184073.40126340132
1608,207165.08821928216
1609,174330.23061276387
1610,139331.65530102383
1611,138506.55566690324
1612,167173.8490159942
1613,161293.29424933507
1614,123886.30009967172
1615,91997.50936334155
1616,76477.2741475118
1617,92167.37700554333
1618,125133.21567791105
1619,134651.46691702027
1620,149271.5928035251
1621,136769.35218817485
1622,138133.6012586577
1623,258232.96030824792
1624,216438.64983827318
1625,123089.28230417392
1626,166793.4971774559
1627,194816.3524736672
1628,271369.9656000184
1629,170392.9256785685
1630,357972.7930818485
1631,222721.74432618602
1632,243656.7052061214
1633,167095.32444316254
1634,183105.93937742256
1635,172671.25382967072
1636,150996.57707607836
1637,206620.49335031144
1638,181396.33805371297
1639,188753.42924714639
1640,259141.0654494244
1641,176706.01553057955
1642,233153.85076565488
1643,214277.46372855475
1644,229251.26559551526
1645,195065.83962540972
1646,157240.105858079
1647,160729.63138909562
1648,130051.65724884738
1649,138495.2627544512
1650,111629.50518419755
1651,119559.68320137593
1652,96037.18991615613
1653,98068.76965446344
1654,144326.66395181653
1655,138996.6580902361
1656,141469.32878626647
1657,145102.27952635122
1658,144728.956583142
1659,116455.03450211548
1660,149741.19554126065
1661,423615.296906064
1662,379458.65922308643
1663,373569.9036622771
1664,478657.8646582064
1665,303557.2261011668
1666,314609.57520440704
1667,374352.31221303466
1668,340600.8972682026
1669,288694.7909831041
1670,340019.51668206137
1671,262645.0763027595
1672,413073.1761506275
1673,284136.2968513828
1674,225506.0021104892
1675,190201.8467467211
1676,188679.23416110626
1677,211871.26561502382
1678,450116.4466993901
1679,375458.91318212124
1680,332536.23223500303
1681,241252.71358255102
1682,298265.4561947145
1683,183074.12905783672
1684,165752.59426310903
1685,165694.42436313565
1686,163023.6667984937
1687,166562.61757899844
1688,192511.58017673597
1689,191539.72093035158
1690,194682.50505614775
1691,181462.17654471792
1692,262448.037058955
1693,162988.46248591898
1694,178725.44168090326
1695,158624.66808103657
1696,274778.9175562165
1697,162533.66269831802
1698,348031.92852659407
1699,306032.57682669663
1700,253046.7337868471
1701,271330.2321858754
1702,232682.46047713526
1703,230957.25181517022
1704,263156.64363123203
1705,231138.01128809765
1706,412062.31214805983
1707,208610.46091140626
1708,195757.88154810556
1709,258797.4039356771
1710,209392.23252695022
1711,261148.28555802483
1712,253144.10353534555
1713,265633.7072417094
1714,223953.7806119278
1715,204473.29355732034
1716,173775.3777383507
1717,167743.07604839635
1718,135680.25794657678
1719,199062.76568121294
1720,229959.93433294343
1721,163512.06725917122
1722,125209.56856604991
1723,150696.7179002588
1724,196123.29792491088
1725,238632.68653550584
1726,185183.48193432397
1727,155885.8452157579
1728,175360.0010110074
1729,165635.282133743
1730,153733.16319204847
1731,121839.43454065846
1732,127615.29307630376
1733,116698.8684253072
1734,123707.64277828959
1735,127376.14869876919
1736,108812.81374658235
1737,282431.2063047512
1738,242305.52713469145
1739,258071.34949543266
1740,216090.15880839634
1741,187429.85021986984
1742,170720.39512214868
1743,174924.10814117052
1744,309911.6962351405
1745,225605.0249255583
1746,182485.63125252788
1747,212784.45388600038
1748,217996.307160242
1749,145025.9308549288
1750,126692.76699456405
1751,256805.28399307275
1752,117777.66271797715
1753,153434.8097847266
1754,193442.76505989366
1755,172063.2402075535
1756,127657.86843665566
1757,120853.93569151842
1758,142816.32563684235
1759,162574.5976894088
1760,165793.39446337832
1761,149962.7904837901
1762,176894.29699156177
1763,183754.37220424484
1764,112378.61413246431
1765,161908.72524668794
1766,190864.30701824548
